"Notes"	"Year"	"Year Code"	"Cause of death"	"Cause of death Code"	Deaths	Population	Crude Rate	% of Total Deaths
	"2013"	"2013"	"Contact with lifting and transmission devices, not elsewhere classified"	"W24"	94	316128839	0.0	0.0%
	"2013"	"2013"	"Severe depressive episode without psychotic symptoms"	"F32.2"	93	316128839	0.0	0.0%
	"2013"	"2013"	"Other reconstructive surgery"	"Y83.4"	93	316128839	0.0	0.0%
	"2013"	"2013"	"Frontal lobe - Malignant neoplasms"	"C71.1"	92	316128839	0.0	0.0%
	"2013"	"2013"	"Congenital myopathies"	"G71.2"	92	316128839	0.0	0.0%
	"2013"	"2013"	"Person injured in collision between car and heavy transport vehicle (traffic)"	"V87.4"	92	316128839	0.0	0.0%
	"2013"	"2013"	"Haemorrhage from other sites in respiratory passages"	"R04.8"	91	316128839	0.0	0.0%
	"2013"	"2013"	"Other cerebral infarction"	"I63.8"	90	316128839	0.0	0.0%
	"2013"	"2013"	"Car occupant injured in collision with fixed or stationary object, unspecified car occupant injured in traffic accident"	"V47.9"	90	316128839	0.0	0.0%
	"2013"	"2013"	"Fall on same level involving ice and snow"	"W00"	90	316128839	0.0	0.0%
	"2013"	"2013"	"Sequelae of inflammatory diseases of central nervous system"	"G09"	89	316128839	0.0	0.0%
	"2013"	"2013"	"Sequelae of intentional self-harm"	"Y87.0"	89	316128839	0.0	0.0%
	"2013"	"2013"	"HIV disease resulting in encephalopathy"	"B22.0"	88	316128839	0.0	0.0%
	"2013"	"2013"	"Connective and soft tissue of thorax - Malignant neoplasms"	"C49.3"	88	316128839	0.0	0.0%
	"2013"	"2013"	"Secondary parkinsonism, unspecified"	"G21.9"	88	316128839	0.0	0.0%
	"2013"	"2013"	"Biliary cirrhosis, unspecified"	"K74.5"	88	316128839	0.0	0.0%
	"2013"	"2013"	"Ischaemic infarction of muscle"	"M62.2"	88	316128839	0.0	0.0%
	"2013"	"2013"	"Caught, crushed, jammed or pinched in or between objects"	"W23"	88	316128839	0.0	0.0%
	"2013"	"2013"	"Contact with powered lawnmower"	"W28"	88	316128839	0.0	0.0%
	"2013"	"2013"	"Overlapping lesion of rectum, anus and anal canal - Malignant neoplasms"	"C21.8"	87	316128839	0.0	0.0%
	"2013"	"2013"	"Other autoimmune haemolytic anaemias"	"D59.1"	87	316128839	0.0	0.0%
	"2013"	"2013"	"Disorders of urea cycle metabolism"	"E72.2"	87	316128839	0.0	0.0%
	"2013"	"2013"	"Rheumatic diseases of endocardium, valve unspecified"	"I09.1"	87	316128839	0.0	0.0%
	"2013"	"2013"	"Anorexia"	"R63.0"	87	316128839	0.0	0.0%
	"2013"	"2013"	"Acute subendocardial myocardial infarction"	"I21.4"	86	316128839	0.0	0.0%
	"2013"	"2013"	"Pyothorax with fistula"	"J86.0"	86	316128839	0.0	0.0%
	"2013"	"2013"	"Other impaction of intestine"	"K56.4"	86	316128839	0.0	0.0%
	"2013"	"2013"	"Other shock"	"R57.8"	86	316128839	0.0	0.0%
	"2013"	"2013"	"Accident to watercraft causing drowning and submersion, unspecified watercraft, boat NOS, ship NOS, or watercraft NOS"	"V90.9"	86	316128839	0.0	0.0%
	"2013"	"2013"	"Intentional self-poisoning by and exposure to other and unspecified chemicals and noxious substances"	"X69"	86	316128839	0.0	0.0%
	"2013"	"2013"	"Assault by drugs, medicaments and biological substances"	"X85"	86	316128839	0.0	0.0%
	"2013"	"2013"	"Vertebral column - Malignant neoplasms"	"C41.2"	85	316128839	0.0	0.0%
	"2013"	"2013"	"Primary adrenocortical insufficiency"	"E27.1"	85	316128839	0.0	0.0%
	"2013"	"2013"	"Ulcer of oesophagus"	"K22.1"	85	316128839	0.0	0.0%
	"2013"	"2013"	"Disease of anus and rectum, unspecified"	"K62.9"	85	316128839	0.0	0.0%
	"2013"	"2013"	"Chronic hepatic failure"	"K72.1"	85	316128839	0.0	0.0%
	"2013"	"2013"	"Nephrotic syndrome, unspecified"	"N04.9"	85	316128839	0.0	0.0%
	"2013"	"2013"	"Other specified congenital malformations of heart"	"Q24.8"	85	316128839	0.0	0.0%
	"2013"	"2013"	"Floor of mouth, unspecified - Malignant neoplasms"	"C04.9"	84	316128839	0.0	0.0%
	"2013"	"2013"	"Head of pancreas - Malignant neoplasms"	"C25.0"	84	316128839	0.0	0.0%
	"2013"	"2013"	"Sequelae of subarachnoid haemorrhage"	"I69.0"	84	316128839	0.0	0.0%
	"2013"	"2013"	"Disease of oesophagus, unspecified"	"K22.9"	84	316128839	0.0	0.0%
	"2013"	"2013"	"Polymyalgia rheumatica"	"M35.3"	84	316128839	0.0	0.0%
	"2013"	"2013"	"Gangrene, not elsewhere classified"	"R02"	84	316128839	0.0	0.0%
	"2013"	"2013"	"Person injured in collision between car and pick-up truck or van (traffic)"	"V87.2"	84	316128839	0.0	0.0%
	"2013"	"2013"	"Heart - Malignant neoplasms"	"C38.0"	83	316128839	0.0	0.0%
	"2013"	"2013"	"Lip, oral cavity and pharynx - Uncertain neoplasms"	"D37.0"	83	316128839	0.0	0.0%
	"2013"	"2013"	"Other inflammatory polyneuropathies"	"G61.8"	83	316128839	0.0	0.0%
	"2013"	"2013"	"Cutaneous abscess, furuncle and carbuncle of limb"	"L02.4"	83	316128839	0.0	0.0%
	"2013"	"2013"	"Dorsalgia, unspecified"	"M54.9"	83	316128839	0.0	0.0%
	"2013"	"2013"	"Pedestrian injured in collision with railway train or railway vehicle, traffic accident"	"V05.1"	83	316128839	0.0	0.0%
	"2013"	"2013"	"Other surgical procedures"	"Y83.8"	83	316128839	0.0	0.0%
	"2013"	"2013"	"Thoracoabdominal aortic aneurysm, ruptured"	"I71.5"	82	316128839	0.0	0.0%
	"2013"	"2013"	"Diseases of bronchus, not elsewhere classified"	"J98.0"	82	316128839	0.0	0.0%
	"2013"	"2013"	"Cutaneous abscess, furuncle and carbuncle, unspecified"	"L02.9"	82	316128839	0.0	0.0%
	"2013"	"2013"	"Unspecified nephritic syndrome, unspecified"	"N05.9"	82	316128839	0.0	0.0%
	"2013"	"2013"	"Aortic (valve) stenosis with insufficiency"	"I35.2"	81	316128839	0.0	0.0%
	"2013"	"2013"	"Rifle, shotgun and larger firearm discharge"	"W33"	81	316128839	0.0	0.0%
	"2013"	"2013"	"Other specified bacterial intestinal infections"	"A04.8"	80	316128839	0.0	0.0%
	"2013"	"2013"	"Other nonrheumatic mitral valve disorders"	"I34.8"	80	316128839	0.0	0.0%
	"2013"	"2013"	"Motorcycle rider injured in collision with heavy transport vehicle or bus, driver injured in traffic accident"	"V24.4"	80	316128839	0.0	0.0%
	"2013"	"2013"	"Fall from cliff"	"W15"	80	316128839	0.0	0.0%
	"2013"	"2013"	"Exposure to ignition or melting of other clothing and apparel"	"X06"	80	316128839	0.0	0.0%
	"2013"	"2013"	"Peripheral nerves and autonomic nervous system, unspecified - Malignant neoplasms"	"C47.9"	79	316128839	0.0	0.0%
	"2013"	"2013"	"Cortex of adrenal gland - Malignant neoplasms"	"C74.0"	79	316128839	0.0	0.0%
	"2013"	"2013"	"Monoclonal gammopathy - Uncertain neoplasms"	"D47.2"	79	316128839	0.0	0.0%
	"2013"	"2013"	"Neoplasm of uncertain or unknown behaviour of lymphoid, haematopoietic and related tissue, unspecified - Uncertain neoplasms"	"D47.9"	79	316128839	0.0	0.0%
	"2013"	"2013"	"Hereditary motor and sensory neuropathy"	"G60.0"	79	316128839	0.0	0.0%
	"2013"	"2013"	"Abscess of lung with pneumonia"	"J85.1"	79	316128839	0.0	0.0%
	"2013"	"2013"	"Haemothorax"	"J94.2"	79	316128839	0.0	0.0%
	"2013"	"2013"	"Portal hypertension"	"K76.6"	79	316128839	0.0	0.0%
	"2013"	"2013"	"Bullous pemphigoid"	"L12.0"	79	316128839	0.0	0.0%
	"2013"	"2013"	"Other and unspecified kyphosis"	"M40.2"	79	316128839	0.0	0.0%
	"2013"	"2013"	"Pathological fracture, not elsewhere classified"	"M84.4"	79	316128839	0.0	0.0%
	"2013"	"2013"	"Handgun discharge"	"W32"	79	316128839	0.0	0.0%
	"2013"	"2013"	"Pituitary gland - Benign neoplasms"	"D35.2"	78	316128839	0.0	0.0%
	"2013"	"2013"	"Haematemesis"	"K92.0"	78	316128839	0.0	0.0%
	"2013"	"2013"	"Congenital malformation syndromes predominantly associated with short stature"	"Q87.1"	78	316128839	0.0	0.0%
	"2013"	"2013"	"Anticoagulants"	"Y44.2"	78	316128839	0.0	0.0%
	"2013"	"2013"	"Thorax - Malignant neoplasms"	"C76.1"	77	316128839	0.0	0.0%
	"2013"	"2013"	"Kidney - Uncertain neoplasms"	"D41.0"	77	316128839	0.0	0.0%
	"2013"	"2013"	"Chronic hepatitis, unspecified"	"K73.9"	77	316128839	0.0	0.0%
	"2013"	"2013"	"Rider or occupant injured by fall from or being thrown from animal or animal-drawn vehicle in noncollision accident"	"V80.0"	77	316128839	0.0	0.0%
	"2013"	"2013"	"Amputation of limb(s)"	"Y83.5"	77	316128839	0.0	0.0%
	"2013"	"2013"	"Cerebral cryptococcosis"	"B45.1"	76	316128839	0.0	0.0%
	"2013"	"2013"	"Acute myocarditis, unspecified"	"I40.9"	76	316128839	0.0	0.0%
	"2013"	"2013"	"Hypersensitivity pneumonitis due to unspecified organic dust"	"J67.9"	76	316128839	0.0	0.0%
	"2013"	"2013"	"Calculus of bile duct with cholangitis"	"K80.3"	76	316128839	0.0	0.0%
	"2013"	"2013"	"Motorcycle rider injured in collision with car, pick-up truck or van, passenger injured in traffic accident"	"V23.5"	76	316128839	0.0	0.0%
	"2013"	"2013"	"Poisoning by and exposure to other gases and vapours, undetermined intent"	"Y17"	76	316128839	0.0	0.0%
	"2013"	"2013"	"Mycosis fungoides - Malignant neoplasms"	"C84.0"	75	316128839	0.0	0.0%
	"2013"	"2013"	"Stomach - Uncertain neoplasms"	"D37.1"	75	316128839	0.0	0.0%
	"2013"	"2013"	"Intracranial (nontraumatic) haemorrhage of newborn, unspecified"	"P52.9"	75	316128839	0.0	0.0%
	"2013"	"2013"	"Malignant neoplasm of trachea"	"C33"	74	316128839	0.0	0.0%
	"2013"	"2013"	"Hypopituitarism"	"E23.0"	74	316128839	0.0	0.0%
	"2013"	"2013"	"Hemiplegia, unspecified"	"G81.9"	74	316128839	0.0	0.0%
	"2013"	"2013"	"Other disorders of nervous system, not elsewhere classified"	"G98"	74	316128839	0.0	0.0%
	"2013"	"2013"	"Fall involving other furniture"	"W08"	74	316128839	0.0	0.0%
	"2013"	"2013"	"Intentional self-harm by other specified means"	"X83"	74	316128839	0.0	0.0%
	"2013"	"2013"	"Other specified septicaemia"	"A41.8"	73	316128839	0.0	0.0%
	"2013"	"2013"	"Iron deficiency anaemia, unspecified"	"D50.9"	73	316128839	0.0	0.0%
	"2013"	"2013"	"Discordant ventriculoarterial connection"	"Q20.3"	73	316128839	0.0	0.0%
	"2013"	"2013"	"Hyperparathyroidism, unspecified"	"E21.3"	72	316128839	0.0	0.0%
	"2013"	"2013"	"Generalized idiopathic epilepsy and epileptic syndromes"	"G40.3"	72	316128839	0.0	0.0%
	"2013"	"2013"	"Unspecified pneumoconiosis"	"J64"	72	316128839	0.0	0.0%
	"2013"	"2013"	"Intra-abdominal and pelvic swelling, mass and lump"	"R19.0"	72	316128839	0.0	0.0%
	"2013"	"2013"	"Nasal cavity - Malignant neoplasms"	"C30.0"	71	316128839	0.0	0.0%
	"2013"	"2013"	"Mental and behavioural disorders due to use of alcohol, withdrawal state with delirium"	"F10.4"	71	316128839	0.0	0.0%
	"2013"	"2013"	"Other disorders of autonomic nervous system"	"G90.8"	71	316128839	0.0	0.0%
	"2013"	"2013"	"Cystitis, unspecified"	"N30.9"	71	316128839	0.0	0.0%
	"2013"	"2013"	"Osteochondrodysplasia, unspecified"	"Q78.9"	71	316128839	0.0	0.0%
	"2013"	"2013"	"Gout, unspecified"	"M10.9"	70	316128839	0.0	0.0%
	"2013"	"2013"	"Bladder disorder, unspecified"	"N32.9"	70	316128839	0.0	0.0%
	"2013"	"2013"	"Newborn affected by complication of labour and delivery, unspecified"	"P03.9"	70	316128839	0.0	0.0%
	"2013"	"2013"	"Occupant of pick-up truck or van injured in collision with fixed or stationary object, passenger injured in traffic accident"	"V57.6"	70	316128839	0.0	0.0%
	"2013"	"2013"	"Fall from tree"	"W14"	70	316128839	0.0	0.0%
	"2013"	"2013"	"Malignant neoplasm of pyriform sinus"	"C12"	69	316128839	0.0	0.0%
	"2013"	"2013"	"Embolism and thrombosis of other specified veins"	"I82.8"	69	316128839	0.0	0.0%
	"2013"	"2013"	"Other giant cell arteritis"	"M31.6"	69	316128839	0.0	0.0%
	"2013"	"2013"	"Newborn affected by maternal hypertensive disorders"	"P00.0"	69	316128839	0.0	0.0%
	"2013"	"2013"	"Other specified congenital malformation syndromes, not elsewhere classified"	"Q87.8"	69	316128839	0.0	0.0%
	"2013"	"2013"	"Motorcycle rider injured in collision with pedestrian or animal, driver injured in traffic accident"	"V20.4"	69	316128839	0.0	0.0%
	"2013"	"2013"	"Corpus uteri, unspecified - Malignant neoplasms"	"C54.9"	68	316128839	0.0	0.0%
	"2013"	"2013"	"Mixed hyperlipidaemia"	"E78.2"	68	316128839	0.0	0.0%
	"2013"	"2013"	"Other specified degenerative diseases of basal ganglia"	"G23.8"	68	316128839	0.0	0.0%
	"2013"	"2013"	"Diseases of the circulatory system complicating pregnancy, childbirth and the puerperium"	"O99.4"	68	316128839	0.0	0.0%
	"2013"	"2013"	"Pneumothorax originating in the perinatal period"	"P25.1"	68	316128839	0.0	0.0%
	"2013"	"2013"	"Other specified congenital malformations"	"Q89.8"	68	316128839	0.0	0.0%
	"2013"	"2013"	"Fall involving ice-skates, skis, roller-skates or skateboards"	"W02"	68	316128839	0.0	0.0%
	"2013"	"2013"	"Paralysis of vocal cords and larynx"	"J38.0"	67	316128839	0.0	0.0%
	"2013"	"2013"	"Pneumoconiosis due to other dust containing silica"	"J62.8"	67	316128839	0.0	0.0%
	"2013"	"2013"	"Intentional self-harm by unspecified means"	"X84"	67	316128839	0.0	0.0%
	"2013"	"2013"	"Pleura - Malignant neoplasms"	"C38.4"	66	316128839	0.0	0.0%
	"2013"	"2013"	"Nutritional deficiency, unspecified"	"E63.9"	66	316128839	0.0	0.0%
	"2013"	"2013"	"Anorexia nervosa"	"F50.0"	66	316128839	0.0	0.0%
	"2013"	"2013"	"Other infantile cerebral palsy"	"G80.8"	66	316128839	0.0	0.0%
	"2013"	"2013"	"Other specified disorders of arteries and arterioles"	"I77.8"	66	316128839	0.0	0.0%
	"2013"	"2013"	"Pedestrian injured in collision with heavy transport vehicle or bus, nontraffic accident"	"V04.0"	66	316128839	0.0	0.0%
	"2013"	"2013"	"Occupant of heavy transport vehicle injured in noncollision transport accident, driver injured in traffic accident"	"V68.5"	66	316128839	0.0	0.0%
	"2013"	"2013"	"Exposure to electric transmission lines"	"W85"	66	316128839	0.0	0.0%
	"2013"	"2013"	"Malignant neoplasm of lymphoid, haematopoietic and related tissue, unspecified - Malignant neoplasms"	"C96.9"	65	316128839	0.0	0.0%
	"2013"	"2013"	"Profound mental retardation"	"F73"	65	316128839	0.0	0.0%
	"2013"	"2013"	"Malignant neuroleptic syndrome"	"G21.0"	65	316128839	0.0	0.0%
	"2013"	"2013"	"Chronic cholecystitis"	"K81.1"	65	316128839	0.0	0.0%
	"2013"	"2013"	"Potter's syndrome"	"Q60.6"	65	316128839	0.0	0.0%
	"2013"	"2013"	"Other and unspecified symptoms and signs involving cognitive functions and awareness"	"R41.8"	65	316128839	0.0	0.0%
	"2013"	"2013"	"Urinary catheterization"	"Y84.6"	65	316128839	0.0	0.0%
	"2013"	"2013"	"Mental and behavioural disorders due to use of other stimulants, including caffeine, unspecified mental and behavioural disorder"	"F15.9"	64	316128839	0.0	0.0%
	"2013"	"2013"	"Severe mental retardation"	"F72"	64	316128839	0.0	0.0%
	"2013"	"2013"	"Streptococcal meningitis"	"G00.2"	64	316128839	0.0	0.0%
	"2013"	"2013"	"Rectal abscess"	"K61.1"	64	316128839	0.0	0.0%
	"2013"	"2013"	"Respiratory distress of newborn, unspecified"	"P22.9"	64	316128839	0.0	0.0%
	"2013"	"2013"	"Bronchopulmonary dysplasia originating in the perinatal period"	"P27.1"	64	316128839	0.0	0.0%
	"2013"	"2013"	"Removal of other organ (partial) (total)"	"Y83.6"	64	316128839	0.0	0.0%
	"2013"	"2013"	"Brain, infratentorial - Uncertain neoplasms"	"D43.1"	63	316128839	0.0	0.0%
	"2013"	"2013"	"Myxoedema coma"	"E03.5"	63	316128839	0.0	0.0%
	"2013"	"2013"	"Obstructive hydrocephalus"	"G91.1"	63	316128839	0.0	0.0%
	"2013"	"2013"	"Cerebral arteritis, not elsewhere classified"	"I67.7"	63	316128839	0.0	0.0%
	"2013"	"2013"	"Disease of digestive system, unspecified"	"K92.9"	63	316128839	0.0	0.0%
	"2013"	"2013"	"Victim of cataclysmic storm"	"X37"	63	316128839	0.0	0.0%
	"2013"	"2013"	"Lower third of oesophagus - Malignant neoplasms"	"C15.5"	62	316128839	0.0	0.0%
	"2013"	"2013"	"Other types of diffuse non-Hodgkin's lymphoma - Malignant neoplasms"	"C83.8"	62	316128839	0.0	0.0%
	"2013"	"2013"	"Non-insulin-dependent diabetes mellitus, with coma"	"E11.0"	62	316128839	0.0	0.0%
	"2013"	"2013"	"Arteriovenous fistula, acquired"	"I77.0"	62	316128839	0.0	0.0%
	"2013"	"2013"	"Diverticulum of oesophagus, acquired"	"K22.5"	62	316128839	0.0	0.0%
	"2013"	"2013"	"Drowning and submersion following fall into swimming-pool"	"W68"	62	316128839	0.0	0.0%
	"2013"	"2013"	"Contact with hornets, wasps and bees"	"X23"	62	316128839	0.0	0.0%
	"2013"	"2013"	"Lymphoblastic (diffuse) - Malignant neoplasms"	"C83.5"	61	316128839	0.0	0.0%
	"2013"	"2013"	"Disease of blood and blood-forming organs, unspecified"	"D75.9"	61	316128839	0.0	0.0%
	"2013"	"2013"	"Stricture of artery"	"I77.1"	61	316128839	0.0	0.0%
	"2013"	"2013"	"Peritoneal adhesions"	"K66.0"	61	316128839	0.0	0.0%
	"2013"	"2013"	"Osteogenesis imperfecta"	"Q78.0"	61	316128839	0.0	0.0%
	"2013"	"2013"	"Exomphalos"	"Q79.2"	61	316128839	0.0	0.0%
	"2013"	"2013"	"Assault by bodily force"	"Y04"	61	316128839	0.0	0.0%
	"2013"	"2013"	"Unspecified viral hepatitis without hepatic coma"	"B19.9"	60	316128839	0.0	0.0%
	"2013"	"2013"	"HIV disease resulting in unspecified malignant neoplasm"	"B21.9"	60	316128839	0.0	0.0%
	"2013"	"2013"	"Long bones of lower limb - Malignant neoplasms"	"C40.2"	60	316128839	0.0	0.0%
	"2013"	"2013"	"Carcinoid syndrome"	"E34.0"	60	316128839	0.0	0.0%
	"2013"	"2013"	"Embolism and thrombosis of arteries of lower extremities"	"I74.3"	60	316128839	0.0	0.0%
	"2013"	"2013"	"Other overlap syndromes"	"M35.1"	60	316128839	0.0	0.0%
	"2013"	"2013"	"Person injured in collision between other motor vehicle and two- or three-wheeled motor vehicle (traffic)"	"V87.1"	60	316128839	0.0	0.0%
	"2013"	"2013"	"Ileum - Malignant neoplasms"	"C17.2"	59	316128839	0.0	0.0%
	"2013"	"2013"	"Disorder of thyroid, unspecified"	"E07.9"	59	316128839	0.0	0.0%
	"2013"	"2013"	"Unspecified acute lower respiratory infection"	"J22"	59	316128839	0.0	0.0%
	"2013"	"2013"	"Female pelvic inflammatory disease, unspecified"	"N73.9"	59	316128839	0.0	0.0%
	"2013"	"2013"	"Bitten or struck by other mammals"	"W55"	59	316128839	0.0	0.0%
	"2013"	"2013"	"Poisoning by and exposure to alcohol, undetermined intent"	"Y15"	59	316128839	0.0	0.0%
	"2013"	"2013"	"Pancreatic duct - Malignant neoplasms"	"C25.3"	58	316128839	0.0	0.0%
	"2013"	"2013"	"Hereditary factor VIII deficiency"	"D66"	58	316128839	0.0	0.0%
	"2013"	"2013"	"Aneurysm of heart"	"I25.3"	58	316128839	0.0	0.0%
	"2013"	"2013"	"Anal canal - Malignant neoplasms"	"C21.1"	57	316128839	0.0	0.0%
	"2013"	"2013"	"Breast - Uncertain neoplasms"	"D48.6"	57	316128839	0.0	0.0%
	"2013"	"2013"	"Hereditary deficiency of other clotting factors"	"D68.2"	57	316128839	0.0	0.0%
	"2013"	"2013"	"Intestinal malabsorption, unspecified"	"K90.9"	57	316128839	0.0	0.0%
	"2013"	"2013"	"Cellulitis of trunk"	"L03.3"	57	316128839	0.0	0.0%
	"2013"	"2013"	"Spondylopathy, unspecified"	"M48.9"	57	316128839	0.0	0.0%
	"2013"	"2013"	"Fistula of vagina to large intestine"	"N82.3"	57	316128839	0.0	0.0%
	"2013"	"2013"	"Cord compression, unspecified"	"G95.2"	56	316128839	0.0	0.0%
	"2013"	"2013"	"Unspecified appendicitis"	"K37"	56	316128839	0.0	0.0%
	"2013"	"2013"	"Motorcycle rider injured in collision with car, pick-up truck or van, unspecified motorcycle rider injured in traffic accident"	"V23.9"	56	316128839	0.0	0.0%
	"2013"	"2013"	"Lip, unspecified - Malignant neoplasms"	"C00.9"	55	316128839	0.0	0.0%
	"2013"	"2013"	"Rheumatic aortic stenosis"	"I06.0"	55	316128839	0.0	0.0%
	"2013"	"2013"	"Chronic sinusitis, unspecified"	"J32.9"	55	316128839	0.0	0.0%
	"2013"	"2013"	"Interstitial emphysema"	"J98.2"	55	316128839	0.0	0.0%
	"2013"	"2013"	"Paralytic ileus"	"K56.0"	55	316128839	0.0	0.0%
	"2013"	"2013"	"Other specified conditions originating in the perinatal period"	"P96.8"	55	316128839	0.0	0.0%
	"2013"	"2013"	"Herpesviral infection, unspecified"	"B00.9"	54	316128839	0.0	0.0%
	"2013"	"2013"	"Bones of skull and face - Malignant neoplasms"	"C41.0"	54	316128839	0.0	0.0%
	"2013"	"2013"	"Pituitary gland - Uncertain neoplasms"	"D44.3"	54	316128839	0.0	0.0%
	"2013"	"2013"	"Syndrome of inappropriate secretion of antidiuretic hormone"	"E22.2"	54	316128839	0.0	0.0%
	"2013"	"2013"	"Other specified paralytic syndromes"	"G83.8"	54	316128839	0.0	0.0%
	"2013"	"2013"	"Bullous erythema multiforme"	"L51.1"	54	316128839	0.0	0.0%
	"2013"	"2013"	"Hypersensitivity angiitis"	"M31.0"	54	316128839	0.0	0.0%
	"2013"	"2013"	"Unspecified contracted kidney"	"N26"	54	316128839	0.0	0.0%
	"2013"	"2013"	"Congenital herpesviral [herpes simplex] infection"	"P35.2"	54	316128839	0.0	0.0%
	"2013"	"2013"	"Disseminated intravascular coagulation of newborn"	"P60"	54	316128839	0.0	0.0%
	"2013"	"2013"	"Mycobacterial infection, unspecified"	"A31.9"	53	316128839	0.0	0.0%
	"2013"	"2013"	"Central nervous system, unspecified - Malignant neoplasms"	"C72.9"	53	316128839	0.0	0.0%
	"2013"	"2013"	"Chronic constrictive pericarditis"	"I31.1"	53	316128839	0.0	0.0%
	"2013"	"2013"	"Orthostatic hypotension"	"I95.1"	53	316128839	0.0	0.0%
	"2013"	"2013"	"Toxic epidermal necrolysis [Lyell]"	"L51.2"	53	316128839	0.0	0.0%
	"2013"	"2013"	"Newborn affected by other maternal complications of pregnancy"	"P01.8"	53	316128839	0.0	0.0%
	"2013"	"2013"	"Pedestrian injured in collision with railway train or railway vehicle, nontraffic accident"	"V05.0"	53	316128839	0.0	0.0%
	"2013"	"2013"	"Cytomegaloviral pneumonitis"	"B25.0"	52	316128839	0.0	0.0%
	"2013"	"2013"	"Ill-defined sites within the respiratory system - Malignant neoplasms"	"C39.9"	52	316128839	0.0	0.0%
	"2013"	"2013"	"Kaposi's sarcoma, unspecified - Malignant neoplasms"	"C46.9"	52	316128839	0.0	0.0%
	"2013"	"2013"	"Endocervix - Malignant neoplasms"	"C53.0"	52	316128839	0.0	0.0%
	"2013"	"2013"	"Heart - Benign neoplasms"	"D15.1"	52	316128839	0.0	0.0%
	"2013"	"2013"	"Rett's syndrome"	"F84.2"	52	316128839	0.0	0.0%
	"2013"	"2013"	"Demyelinating disease of central nervous system, unspecified"	"G37.9"	52	316128839	0.0	0.0%
	"2013"	"2013"	"Paralytic syndrome, unspecified"	"G83.9"	52	316128839	0.0	0.0%
	"2013"	"2013"	"Atherosclerosis of aorta"	"I70.0"	52	316128839	0.0	0.0%
	"2013"	"2013"	"Spontaneous tension pneumothorax"	"J93.0"	52	316128839	0.0	0.0%
	"2013"	"2013"	"Gastro-oesophageal laceration-haemorrhage syndrome"	"K22.6"	52	316128839	0.0	0.0%
	"2013"	"2013"	"Umbilical hernia with obstruction, without gangrene"	"K42.0"	52	316128839	0.0	0.0%
	"2013"	"2013"	"Disease of biliary tract, unspecified"	"K83.9"	52	316128839	0.0	0.0%
	"2013"	"2013"	"Microcephaly"	"Q02"	52	316128839	0.0	0.0%
	"2013"	"2013"	"Renal dysplasia"	"Q61.4"	52	316128839	0.0	0.0%
	"2013"	"2013"	"Pedal cyclist injured in noncollision transport accident, unspecified pedal cyclist injured in traffic accident"	"V18.9"	52	316128839	0.0	0.0%
	"2013"	"2013"	"Occupant of pick-up truck or van injured in collision with car, pick-up truck or van, passenger injured in traffic accident"	"V53.6"	52	316128839	0.0	0.0%
	"2013"	"2013"	"Driver injured in collision with other and unspecified motor vehicles in traffic accident"	"V59.4"	52	316128839	0.0	0.0%
	"2013"	"2013"	"Transverse colon - Malignant neoplasms"	"C18.4"	51	316128839	0.0	0.0%
	"2013"	"2013"	"Spinal cord - Malignant neoplasms"	"C72.0"	51	316128839	0.0	0.0%
	"2013"	"2013"	"Brain, unspecified - Benign neoplasms"	"D33.2"	51	316128839	0.0	0.0%
	"2013"	"2013"	"Thyrotoxicosis with diffuse goitre"	"E05.0"	51	316128839	0.0	0.0%
	"2013"	"2013"	"Diabetes insipidus"	"E23.2"	51	316128839	0.0	0.0%
	"2013"	"2013"	"Alcohol-induced chronic pancreatitis"	"K86.0"	51	316128839	0.0	0.0%
	"2013"	"2013"	"Accidental poisoning by and exposure to organic solvents and halogenated hydrocarbons and their vapours"	"X46"	51	316128839	0.0	0.0%
	"2013"	"2013"	"Skin of trunk - Malignant neoplasms"	"C44.5"	50	316128839	0.0	0.0%
	"2013"	"2013"	"Choroid - Malignant neoplasms"	"C69.3"	50	316128839	0.0	0.0%
	"2013"	"2013"	"Combined disorders of mitral, aortic and tricuspid valves"	"I08.3"	50	316128839	0.0	0.0%
	"2013"	"2013"	"Other diseases of pharynx"	"J39.2"	50	316128839	0.0	0.0%
	"2013"	"2013"	"Kinking and stricture of ureter without hydronephrosis"	"N13.5"	50	316128839	0.0	0.0%
	"2013"	"2013"	"Motorcycle rider injured in collision with fixed or stationary object, unspecified motorcycle rider injured in traffic accident"	"V27.9"	50	316128839	0.0	0.0%
	"2013"	"2013"	"Assault by blunt object"	"Y00"	50	316128839	0.0	0.0%
	"2013"	"2013"	"HIV disease resulting in Kaposi's sarcoma"	"B21.0"	49	316128839	0.0	0.0%
	"2013"	"2013"	"Hard palate - Malignant neoplasms"	"C05.0"	49	316128839	0.0	0.0%
	"2013"	"2013"	"Connective and soft tissue of upper limb, including shoulder - Malignant neoplasms"	"C49.1"	49	316128839	0.0	0.0%
	"2013"	"2013"	"Cardiomyopathy in the puerperium"	"O90.3"	49	316128839	0.0	0.0%
	"2013"	"2013"	"Arnold-Chiari syndrome"	"Q07.0"	49	316128839	0.0	0.0%
	"2013"	"2013"	"Congenital malformation of peripheral vascular system, unspecified"	"Q27.9"	49	316128839	0.0	0.0%
	"2013"	"2013"	"Passenger of all-terrain or other off-road motor vehicle injured in nontraffic accident"	"V86.6"	49	316128839	0.0	0.0%
	"2013"	"2013"	"Palate, unspecified - Malignant neoplasms"	"C05.9"	48	316128839	0.0	0.0%
